cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,acidic
11423,Godfather,2,"Scotch, Amaretto",True,False
13499,Oreo Mudslide,5,"Vodka, Kahlua, Baileys irish cream, Vanilla ice-cream, Oreo cookie",True,False
16202,Amaretto Sweet & Sour,4,"Amaretto, Sweet and sour, Midori melon liqueur, Pineapple juice",True,False
17189,Monkey Gland,4,"Gin, Benedictine, Orange juice, Grenadine",True,False
15178,Texas Rattlesnake,4,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour",True,False
11170,Brandy Sour,5,"Brandy, Lemon, Powdered sugar, Lemon, Cherry",True,True
17824,The Laverstoke,7,"Gin, Elderflower cordial, Rosso Vermouth, Tonic Water, Lime, Ginger, Mint",True,True
11288,Cuba Libre,3,"Light rum, Lime, Coca-Cola",True,True
17180,Aviation,3,"Gin, lemon juice, maraschino liqueur",True,False
178316,Honey Bee,3,"White Rum, Honey, Lemon Juice",True,False
13971,Irish Coffee,4,"Irish whiskey, Coffee, Sugar, Whipped cream",True,False
14598,50/50,3,"Vanilla vodka, Grand Marnier, Orange juice",True,False
12798,Coffee Liqueur,5,"Coffee, Vanilla extract, Sugar, Vodka, Water",True,False
16047,Campari Beer,2,"Lager, Campari",True,False
11012,Alabama Slammer,4,"Southern Comfort, Amaretto, Sloe gin, Lemon juice",True,False
15801,Zimadori Zinger,2,"Midori melon liqueur, Zima",True,False
178335,Lazy Coconut Paloma,3,"Coconut Liqueur, Grapefruit Juice, Soda Water",True,False
178339,The Strange Weaver,7,"Light Rum, Gin, Sweet Vermouth, Campari, Lemon Juice, Orgeat Syrup, Orange Peel",True,False
12442,Vermouth Cassis,3,"Dry Vermouth, Creme de Cassis, Carbonated water",True,False
17168,Amaretto Sunset,4,"Triple sec, Amaretto, Cider, Ice",True,False
178311,Broadside,5,"151 proof rum, Scotch, Bitters, Wormwood, Ice",True,False
11420,Gin Toddy,4,"Gin, Water, Powdered sugar, Lemon peel",True,False
11224,Casino Royale,5,"Gin, Lemon juice, Maraschino liqueur, Orange bitters, Egg yolk",True,False
17198,French Connection,2,"Cognac, Amaretto",True,False
11991,Queen Elizabeth,3,"Dry Vermouth, Gin, Benedictine",True,False
15403,Vodka Russian,2,"Vodka, Schweppes Russchian",True,False
15825,Jamaican Coffee,4,"Rum, Coffee, Water, Whipped cream",True,False
178357,Pornstar Martini,5,"Vodka, Passoa, Passion fruit juice, Lime, Prosecco",True,True
11147,Bourbon Sour,5,"Bourbon, Lemon juice, Sugar, Orange, Maraschino cherry",True,True
11604,Kentucky Colonel,3,"Bourbon, Benedictine, Lemon peel",True,False
11007,Margarita,4,"Tequila, Triple sec, Lime juice, Salt",True,False
178306,Slippery Nipple,2,"Sambuca, Irish cream",True,False
178368,Planter’s Punch,6,"Dark Rum, Orange Juice, Pineapple Juice, Grenadine, Sugar Syrup, Angostura Bitters",True,False
11416,Gin Smash,6,"Gin, Carbonated water, Sugar, Mint, Orange, Cherry",True,True
17194,White Lady,3,"Gin, Triple Sec, Lemon Juice",True,False
178328,Funk and Soul,5,"Rum, Apricot Nectar, Pomegranate juice, lemon, Soda Water",True,False
