cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,acidic,caffiene,category,glass,price
11021,Allegheny,5,"Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,13.84
11670,Lord And Lady,2,"Dark rum, Tia maria",True,False,False,Ordinary Drink,Old-fashioned glass,11.18
12196,Sidecar,3,"Cognac, Cointreau, Lemon juice",True,False,False,Ordinary Drink,Cocktail glass,13.52
11106,Blackthorn,3,"Sweet Vermouth, Sloe gin, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,11.59
11010,After Dinner Cocktail,4,"Apricot brandy, Triple sec, Lime, Lime",True,True,False,Ordinary Drink,Cocktail glass,12.73
17005,A True Amaretto Sour,4,"Amaretto, Lemon, Ice, Maraschino cherry",True,True,False,Cocktail,Old-fashioned glass,15.8
17002,Gideon's Green Dinosaur,6,"Dark rum, Vodka, Triple sec, Tequila, Melon liqueur, Mountain Dew",True,False,False,Ordinary Drink,Collins glass,13.54
11157,Brandy Cobbler,6,"Sugar, Club soda, Lemon, Brandy, Maraschino cherry, Orange",True,True,False,Ordinary Drink,Old-fashioned glass,14.06
12730,Castillian Hot Chocolate,5,"Cocoa powder, Sugar, Cornstarch, Water, Milk",False,False,False,Cocoa,Coffee mug,10.12
12188,Sherry Eggnog,5,"Sherry, Powdered sugar, Egg, Milk, Nutmeg",True,False,False,Ordinary Drink,Collins glass,13.86
178363,Vodka Lemon,4,"Vodka, Lemon Juice, Lemon Peel, Ice",True,False,False,Cocktail,Highball glass,12.89
15226,Space Odyssey,6,"151 proof rum, Malibu rum, Pineapple juice, Orange juice, Grenadine, Cherries",True,False,False,Ordinary Drink,Highball glass,13.48
13675,Flander's Flake-Out,2,"Sambuca, Sarsaparilla",True,False,False,Ordinary Drink,Collins Glass,10.08
16031,Radler,2,"Beer, 7-Up",True,False,False,Ordinary Drink,Highball glass,11.79
12862,Aloha Fruit punch,7,"Water, Ginger, Guava juice, Lemon juice, Pineapple, Sugar, Pineapple juice",False,False,False,Punch / Party Drink,Collins Glass,12.75
178346,Elderflower Caipirinha,3,"Cachaca, Lime, Elderflower cordial",True,True,False,Cocktail,Collins glass,11.5
13499,Oreo Mudslide,5,"Vodka, Kahlua, Baileys irish cream, Vanilla ice-cream, Oreo cookie",True,False,False,Ordinary Drink,Collins Glass,16.35
12402,Tom Collins,6,"Gin, Lemon juice, Sugar, Club soda, Maraschino cherry, Orange",True,True,False,Ordinary Drink,Collins glass,14.35
11666,Lone Tree Cooler,6,"Carbonated water, Gin, Dry Vermouth, Powdered sugar, Orange spiral, Lemon peel",True,False,False,Ordinary Drink,Collins glass,14.3
16311,Applejack,3,"Jack Daniels, Midori melon liqueur, Sour mix",True,False,False,Cocktail,Cocktail glass,11.05
17242,Bombay Cassis,6,"Gin, Creme de Cassis, Fresh Lime Juice, Ginger beer, Lime, Ginger",True,True,False,Cocktail,Balloon Glass,13.93
11391,Frozen Pineapple Daiquiri,4,"Light rum, Pineapple, Lime juice, Sugar",True,False,False,Ordinary Drink,Cocktail Glass,12.85
16273,Shark Attack,3,"Lemonade, Water, Vodka",True,False,False,Cocktail,Pitcher,12.21
13501,ABC,3,"Amaretto, Baileys irish cream, Cognac",True,False,False,Shot,Shot glass,15.48
17247,The Last Word,4,"Green Chartreuse, Maraschino Liqueur, Lime Juice, Gin",True,False,False,Cocktail,Cocktail glass,15.15
11600,Kamikaze,3,"Vodka, Triple sec, Lime juice",True,False,False,Ordinary Drink,Cocktail glass,12.03
16963,Zorbatini,2,"Vodka, Ouzo",True,False,False,Cocktail,Cocktail glass,11.76
11983,Quaker's Cocktail,4,"Light rum, Brandy, Lemon, Raspberry syrup",True,True,False,Ordinary Drink,Cocktail glass,12.5
14272,Addison Special,3,"Vodka, Grenadine, Orange juice",True,False,False,Cocktail,Old-fashioned glass,12.4
11128,Boston Sidecar,4,"Light rum, Brandy, Triple sec, Lime",True,True,False,Ordinary Drink,Cocktail glass,11.71
17829,Penicillin,5,"Blended Scotch, Lemon Juice, Honey syrup, Ginger Syrup, Islay single malt Scotch",True,False,False,Cocktail,Old-fashioned glass,13.1
17204,Long Island Iced Tea,6,"Vodka, Tequila, Light rum, Gin, Coca-Cola, Lemon peel",True,False,False,Ordinary Drink,Highball glass,14.73
16041,Mudslinger,3,"Southern Comfort, Orange juice, Pepsi Cola",True,False,False,Punch / Party Drink,Punch bowl,11.44
12702,Lemouroudji,5,"Ginger, Water, Lemon, Sugar, Cayenne pepper",False,True,False,Other / Unknown,Highball Glass,9.77
17838,Adonis Cocktail,3,"Sweet Vermouth, Sherry, Orange bitters",True,False,False,Ordinary Drink,Cocktail glass,12.54
15789,Snakebite and Black,3,"Lager, Cider, Blackcurrant squash",True,False,False,Beer,Pint glass,12.66
12754,Sex on the Beach,4,"Vodka, Peach schnapps, Cranberry juice, Orange juice",True,False,False,Ordinary Drink,Highball glass,12.11
13539,Ice Pick,3,"Vodka, Iced tea, Lemon juice",True,False,False,Ordinary Drink,Collins Glass,11.26
15254,Zenmeister,2,"Jägermeister, Root beer",True,False,False,Ordinary Drink,Collins Glass,11.23
12732,Chocolate Beverage,4,"Milk, Chocolate, Cinnamon, Egg",False,False,False,Cocoa,Coffee mug,9.04
12067,Rum Cobbler,6,"Sugar, Club soda, Lemon, Dark rum, Maraschino cherry, Orange",True,True,False,Ordinary Drink,Old-fashioned glass,14.36
15423,110 in the shade,2,"Lager, Tequila",True,False,False,Beer,Beer Glass,11.55
14378,Lunch Box,3,"Beer, Amaretto, Orange juice",True,False,False,Beer,Pint glass,13.22
12158,Scotch Sour,5,"Scotch, Lime, Powdered sugar, Lemon, Cherry",True,True,False,Ordinary Drink,Whiskey sour glass,13.28
11872,Orgasm,5,"Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream",True,False,False,Ordinary Drink,Cocktail glass,15.7
178368,Planter’s Punch,6,"Dark Rum, Orange Juice, Pineapple Juice, Grenadine, Sugar Syrup, Angostura Bitters",True,False,False,Cocktail,Highball glass,13.29
12870,Artillery Punch,8,"Tea, Rye whiskey, Red wine, Rum, Brandy, Benedictine, Orange juice, Lemon juice",True,False,False,Punch / Party Drink,Punch bowl,18.73
17197,French 75,6,"Gin, Sugar, Lemon juice, Champagne, Orange, Maraschino cherry",True,True,False,Ordinary Drink,Collins glass,14.31
17215,Spritz,3,"Prosecco, Campari, Soda Water",True,False,False,Ordinary Drink,Old-Fashioned glass,14.04
178323,Passion Fruit Martini,3,"Vodka, Sugar Syrup, Passion fruit juice",True,False,False,Cocktail,Cocktail glass,11.6
11023,Almeria,3,"Dark rum, Kahlua, Egg white",True,False,False,Ordinary Drink,Cocktail glass,15.75
17220,Butter Baby,4,"Vanilla Ice-Cream, Butterscotch schnapps, Milk, Vodka",True,False,False,Shake,Beer mug,12.01
14586,Orange Push-up,4,"Spiced rum, Grenadine, Orange juice, Sour mix",True,False,False,Ordinary Drink,Hurricane glass,11.77
12808,Creme de Menthe,5,"Sugar, Water, Grain alcohol, Peppermint extract, Food coloring",True,False,False,Homemade Liqueur,Collins Glass,12.77
15743,Fuzzy Asshole,2,"Coffee, Peach schnapps",True,False,True,Coffee / Tea,Coffee mug,11.67
12954,Holloween Punch,4,"Grape juice, Carbonated soft drink, Sherbet, Sherbet",False,False,False,Punch / Party Drink,Punch bowl,10.01
12668,Egg Cream,3,"Chocolate syrup, Milk, Soda water",False,False,False,Other / Unknown,Coffee mug,9.6
11255,Clove Cocktail,3,"Sweet Vermouth, Sloe gin, Wine",True,False,False,Ordinary Drink,Cocktail glass,12.67
17255,Gimlet,4,"Gin, Lime Juice, Sugar Syrup, Lime",True,True,False,Cocktail,Martini Glass,13.4
15997,GG,3,"Galliano, Ginger ale, Ice",False,False,False,Ordinary Drink,Collins Glass,12.14
12714,Kiwi Papaya Smoothie,2,"Kiwi, Papaya",False,False,False,Other / Unknown,Highball Glass,8.31
