cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,instructions,image_url,price
13162,Afternoon,5,"Kahlua, Baileys irish cream, Frangelico, Coffee, Cream",True,2,False,True,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.",https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg,19.13
14584,Arizona Stingers,2,"Absolut Vodka, Iced tea",True,0,False,False,Cocktail,Hurricane glass,Place ice cubes in the hurricane glass . Add the 2 HEAPING shots of Absolute Vodka (Note: You can add as many shots of Absolute as you want!) Fill the rest of glass with the Arizona Icetea with lemon. Stir to mix using a spoon. Drink up and enjoy!!!!!!!,https://www.thecocktaildb.com/images/media/drink/y7w0721493068255.jpg,11.2
12093,Rum Sour,5,"Light rum, Lemon juice, Sugar, Orange, Maraschino cherry",True,1,True,False,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",https://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,12.55
15521,Swedish Coffee,3,"Coffee, Aquavit, Sugar",True,1,False,True,Coffee / Tea,Coffee Mug,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning),https://www.thecocktaildb.com/images/media/drink/ywtrvt1441246783.jpg,11.93
17227,Addington,3,"Sweet Vermouth, Dry Vermouth, Soda Water",True,3,False,False,Cocktail,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,12.53
17215,Spritz,3,"Prosecco, Campari, Soda Water",True,2,False,False,Ordinary Drink,Old-Fashioned glass,"Build into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,13.65
14087,Red Snapper,3,"Crown Royal, Amaretto, Cranberry juice",True,2,False,False,Shot,Old-fashioned glass,"One shot each, shake n shoot",https://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,15.16
11202,Caipirinha,3,"Sugar, Lime, Cachaca",True,1,True,False,Ordinary Drink,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg,11.81
14029,57 Chevy with a White License Plate,2,"Creme de Cacao, Vodka",True,1,False,False,Cocktail,Highball glass,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,https://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,10.62
12944,Gluehwein,6,"Red wine, Water, Sugar, Cinnamon, Cloves, Lemon peel",False,1,False,False,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",https://www.thecocktaildb.com/images/media/drink/vuxwvt1468875418.jpg,10.55
178340,Garibaldi Negroni,4,"Gin, Campari, Orange Juice, Orange Peel",True,1,True,False,Cocktail,Highball glass,Mix together in a shaker and garnish with a simple orange slice. Fill your vitamin C and cocktail fix at the same time!,https://www.thecocktaildb.com/images/media/drink/kb4bjg1604179771.jpg,15.46
178353,Apple Highball,4,"Lime, Apple Schnapps, Cognac, Ginger",True,0,True,False,Cocktail,Highball glass,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.",https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,13.04
11728,Martini,3,"Gin, Dry Vermouth, Olive",True,1,False,False,Cocktail,Cocktail glass,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/71t8581504353095.jpg,11.07
15515,Tennesee Mud,4,"Coffee, Jack Daniels, Amaretto, Whipped cream",True,1,False,True,Coffee / Tea,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",https://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,16.08
16985,Shot-gun,3,"Jim Beam, Jack Daniels, Wild Turkey",True,0,False,False,Shot,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,https://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,12.49
12198,Sidecar Cocktail,3,"Brandy, Triple sec, Lemon",True,1,True,False,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,12.61
15743,Fuzzy Asshole,2,"Coffee, Peach schnapps",True,1,False,True,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,11.43
11566,Jewel Of The Nile,3,"Gin, Green Chartreuse, Yellow Chartreuse",True,0,False,False,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,15.15
12127,Sazerac,6,"Ricard, Sugar, Peychaud bitters, Water, Bourbon, Lemon peel",True,1,False,False,Ordinary Drink,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,13.34
11007,Margarita,4,"Tequila, Triple sec, Lime juice, Salt",True,0,True,False,Ordinary Drink,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass.",https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,11.94
13971,Irish Coffee,4,"Irish whiskey, Coffee, Sugar, Whipped cream",True,1,False,True,Coffee / Tea,Irish coffee cup,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",https://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,12.14
12706,Imperial Cocktail,3,"Lime juice, Gin, Aperol",True,0,True,False,Cocktail,Cocktail glass,Shake with ice and strain into cocktail glass.,https://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,11.38
17105,501 Blue,5,"Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up",True,2,False,False,Ordinary Drink,Collins Glass,Mix equal amounts into a glass with ice.,https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,13.7
16333,Adam Bomb,8,"Rum, Vodka, Tequila, Triple sec, Fruit, Ice, Salt, Fruit juice",True,1,False,False,Punch / Party Drink,Margarita/Coupette glass,"Add ice to blender (or to glass if prefer on the rocks) then fruit, and fruite juice depending on personal prefference then add the Rum, Vodka, Tequila, and triple sec. blend till smooth, rim glass with sugar or salt and pour mixture in. garnish with lemon or lime slice.",https://www.thecocktaildb.com/images/media/drink/tpxurs1454513016.jpg,16.42
13389,Snake Bite (UK),2,"Lager, Cider",True,0,False,False,Beer,Pint glass,Pour ingredients into a pint glass. Drink. Fall over.,https://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,10.56
15951,Black Forest Shake,5,"Ice, Chocolate syrup, Cherry brandy, Vodka, Milk",True,1,False,False,Shake,Collins Glass,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well.",https://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,13.55
